investor_type,green_focus,confidence_type,confidence_green,reasoning,investor_id,investor_name
GVC,GREEN_VC,high,high,"Equinor is a Norwegian multinational energy company that is majority-owned by the Norwegian government. Its venture arm, Equinor Ventures, falls under the category of GVC as it is publicly funded by a government body.",95,Equinor Ventures
GVC,GREEN_VC,high,high,"Wells Fargo Innovation Incubator is a venture funded by Wells Fargo, a large bank. However, as it is a program of a private corporation (not government-run), it falls under the category CVC. Since it's part of a bank, it can be considered a Bank_VC. However, given that the program focuses on clean t",108,Wells Fargo Innovation Incubator
GVC,GREEN_VC,high,high,"The Microsoft Climate Fund is a venture fund associated with a large technology company, which indicates it might be a CVC. However, since it's not explicitly stated that the parent organization is private, and given that Microsoft is a multinational corporation, it can also be considered as part of",135,Microsoft Climate Fund
GVC,GREEN_VC,high,high,"Eni Next is a venture of Eni, an Italian multinational oil and gas company. As such, it falls under the category of CVC. However, since Eni is a government-owned corporation (50% owned by the Italian Government), it is classified as GVC.",181,Eni Next
GVC,GREEN_VC,high,high,"ABB Ventures is a venture arm of ABB, a multinational corporation based in Switzerland. As such, it falls under the category of CVC. However, since ABB is a private corporation and not a government body, this investor is classified as OTHER (CVC). Given that ABB focuses on technologies like renewabl",183,ABB Ventures
GVC,GREEN_VC,high,high,"EDP Ventures is a venture arm of EDP (Energias de Portugal), a Portuguese electricity company. As it is affiliated with a private corporation, it falls under the CVC category. However, since EDP is not a government body, the investor type is incorrectly classified as GVC due to its association with ",225,EDP Ventures
OTHER,GREEN_VC,high,high,"DeltaClimeVT is a business accelerator providing support to climate economy entrepreneurs, making it other than GVC, CVC, Impact_VC, Bank_VC, Angel_Network, or University_VC. However, given its focus on climate economy innovation, it falls under the category of Green VC.",249,DeltaClimeVT
GVC,GREEN_VC,high,high,"bp Ventures is a venture capital arm of BP, a multinational oil and gas company. As it is a subsidiary of a private corporation, it falls under the category of CVC. However, given that BP is a major player in the fossil fuel industry, its ventures focus likely aligns with traditional energy rather t",276,bp Ventures
OTHER,GREEN_VC,medium,high,"Launch Alaska is an accelerator that catalyzes rapid innovation and connects startups with partners, which suggests it may be a non-government entity (IVC or Angel_Network). However, its focus on tech deployment in Alaska and its role as a catalyst for innovation could suggest some level of governme",283,Launch Alaska
GVC,GREEN_VC,high,high,"IP Group is a venture capital company affiliated with the University of Oxford, making it a University_VC. However, since it is directly associated with a specific university, it falls under the GVC category as it is publicly funded.",304,IP Group
